NAME                                                                           VERSION                             TYPE                          
php85-dom                                                                      8.5.10-r0                           apk                            
php85-fileinfo                                                                 8.5.10-r0                           apk                            
php85-fpm                                                                      8.5.10-r0                           apk                            
php85-gd                                                                       8.5.10-r0                           apk                            
php85-iconv                                                                    8.5.10-r0                           apk                            
php85-intl                                                                     8.5.10-r0                           apk                            
php85-mbstring                                                                 8.5.10-r0                           apk                            
php85-openssl                                                                  8.5.10-r0                           apk                            
php85-pdo                                                                      8.5.10-r0                           apk                            
php85-pdo_sqlite                                                               8.5.10-r0                           apk                            
php85-phar                                                                     8.5.10-r0                           apk                            
php85-session                                                                  8.5.10-r0                           apk                            
php85-simplexml                                                                8.5.10-r0                           apk                            
php85-sqlite3                                                                  8.5.10-r0                           apk                            
php85-tokenizer                                                                8.5.10-r0                           apk                            
php85-xml                                                                      8.5.10-r0                           apk                            
php85-xmlwriter                                                                8.5.10-r0                           apk                            
php85-zip                                                                      8.5.10-r0                           apk                            
phpmailer/phpmailer                                                            v7.1.1                              php-composer                   
popt                                                                           1.19-r4                             apk                            
procps-ng                                                                      4.0.6-r0                            apk                            
readline                                                                       8.3.3-r1                            apk                            
scanelf                                                                        1.3.9-r1                            apk                            
seblucas-cops                                                                  UNKNOWN                             npm                            
shadow                                                                         4.18.0-r1                           apk                            
skalibs-libs                                                                   2.15.0.0-r0                         apk                            
sqlite-libs                                                                    3.53.4-r0                           apk                            
ssl_client                                                                     1.37.0-r31                          apk                            
stdlib                                                                         go1.17.8                            go-module                      
symfony/config                                                                 v8.1.5                              php-composer                   
symfony/deprecation-contracts                                                  v3.7.1                              php-composer                   
symfony/filesystem                                                             v8.1.6                              php-composer                   
symfony/http-foundation                                                        v8.1.7                              php-composer                   
symfony/polyfill-ctype                                                         v1.37.0                             php-composer                   
symfony/polyfill-intl-grapheme                                                 v1.41.0                             php-composer                   
symfony/polyfill-intl-normalizer                                               v1.42.0                             php-composer                   
symfony/polyfill-mbstring                                                      v1.38.2                             php-composer                   
symfony/routing                                                                v8.1.6                              php-composer                   
symfony/string                                                                 v8.1.7                              php-composer                   
symfony/translation-contracts                                                  v3.7.1                              php-composer                   
twig                                                                           3.0.0                               npm                            
twig/twig                                                                      v3.28.0                             php-composer                   
tzdata                                                                         2026c-r0                            apk                            
utmps-libs                                                                     0.1.3.3-r0                          apk                            
walk                                                                           2.3.15                              npm                            
xz-libs                                                                        5.8.4-r0                            apk                            
zlib                                                                           1.3.2-r0                            apk                            
zstd-libs                                                                      1.5.7-r2                            apk                            
